date_observed,search_term,store,product_title,product_url,package_size_text,package_size,package_unit,displayed_price,unit_price_text,listed_unit_price,listed_unit,is_variable_weight,sale_status,sale_price,regular_price,multi_buy_quantity,multi_buy_unit_price,single_item_price,category,product_family,comparison_group,product_form,attributes,standardized_unit,price_per_standard_unit,data_quality_warning,normalization_error,displayed_price_text,regular_price_text,regular_price_unit
2026-09-20,chicken breast,Metro Canada,Bone-in Chicken Breasts,https://www.metro.ca/en/online-grocery/aisles/meat-poultry/chicken-turkey/breasts/bone-in-chicken-breasts/p/245113,3 per tray,,,18.16,$16.51 / kg $7.49 / lb.,16.51,kg,True,,,,,,,meat,chicken_breast,chicken_breast_bone_in,whole,bone_in,100g,1.651,,,$18.16 avg. ea.,,
2026-09-20,chicken breast,Metro Canada,Cajun Chicken Breast Roast,https://www.metro.ca/en/online-grocery/aisles/meat-poultry/chicken-turkey/whole-roasting/cajun-chicken-breast-roast/p/221516,,,,2.99,$29.90 / kg $13.56 / lb.,29.9,kg,True,sale,2.99,44.9,,,,unknown,unknown,unsupported,unknown,,100g,2.9899999999999998,,,$2.99 / 100 g,Regular price $44.90 / kg $20.37 / lb.,kg
2026-09-20,eggs,Metro Canada,Large Eggs,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/eggs/whole-eggs/large-eggs/p/059749896078,18 un,18.0,count,5.99,$0.33 / un.,0.33,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,,1unit,0.3327777777777778,,,$5.99 ea.,,
2026-09-20,eggs,Metro Canada,Large Eggs,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/eggs/whole-eggs/large-eggs/p/059749896054,12 un,12.0,count,3.99,$0.33 / un.,0.33,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,,1unit,0.3325,,,$3.99 ea.,,
2026-09-20,eggs,Metro Canada,"Large Eggs, Value Pack",https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/eggs/whole-eggs/large-eggs/p/059749976879,30 un,30.0,count,9.99,$0.33 / un.,0.33,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,,1unit,0.333,,,$9.99 ea.,,
2026-09-20,eggs,Metro Canada,"Large Eggs, Prestige",https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/eggs/whole-eggs/large-eggs/p/065651000014,18 un,18.0,count,7.99,$0.44 / un.,0.44,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,,1unit,0.4438888888888889,,,$7.99 ea.,,
2026-09-20,eggs,Metro Canada,"Large Omega-3 Eggs, Naturegg",https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/eggs/whole-eggs/large-omega-3-eggs/p/065651003404,18 un,18.0,count,7.49,$0.42 / un.,0.42,1unit,False,sale,7.49,8.49,,,,dairy,eggs,large_eggs,shell,omega_3,1unit,0.4161111111111111,,,$7.49 ea.,Regular price $8.49 ea.,
2026-09-20,eggs,Metro Canada,Medium Eggs,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/eggs/whole-eggs/medium-eggs/p/065651000038,12 un,12.0,count,3.99,$0.33 / un.,0.33,1unit,False,,,,,,,dairy,eggs,medium_eggs,shell,,1unit,0.3325,,,$3.99 ea.,,
2026-09-20,eggs,Metro Canada,Large Eggs,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/eggs/whole-eggs/large-eggs/p/065651000168,6 un,6.0,count,3.49,$0.58 / un.,0.58,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,,1unit,0.5816666666666667,,,$3.49 ea.,,
2026-09-20,eggs,Metro Canada,"Large Eggs, Nestlaid",https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/eggs/whole-eggs/large-eggs/p/065651005590,12 un,12.0,count,5.49,$0.46 / un.,0.46,1unit,False,sale,5.49,6.19,,,,dairy,eggs,large_eggs,shell,,1unit,0.4575,,,$5.49 ea.,Regular price $6.19 ea.,
2026-09-20,eggs,Metro Canada,"Large Eggs, Naturegg",https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/eggs/whole-eggs/large-eggs/p/065651000229,12 un,12.0,count,5.79,$0.48 / un.,0.48,1unit,False,sale,5.79,6.29,,,,dairy,eggs,large_eggs,shell,,1unit,0.4825,,,$5.79 ea.,Regular price $6.29 ea.,
2026-09-20,eggs,Metro Canada,Extra Large Eggs,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/eggs/whole-eggs/extra-large-eggs/p/059749896061,12 un,12.0,count,4.99,$0.42 / un.,0.42,1unit,False,,,,,,,dairy,eggs,extra_large_eggs,shell,,1unit,0.41583333333333333,,,$4.99 ea.,,
2026-09-20,eggs,Metro Canada,"Large Organic Brown Eggs, Free-Range",https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/eggs/whole-eggs/large-organic-brown-eggs/p/059749976817,12 un,12.0,count,7.99,$0.67 / un.,0.67,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,organic|free_range,1unit,0.6658333333333334,,,$7.99 ea.,,
2026-09-20,eggs,Metro Canada,Large Brown Eggs,https://www.metro.ca/en/online-grocery/aisles/dairy-eggs/eggs/whole-eggs/large-brown-eggs/p/065651000120,12 un,12.0,count,6.49,$0.54 / un.,0.54,1unit,False,,,,,,,dairy,eggs,large_eggs,shell,,1unit,0.5408333333333334,,,$6.49 ea.,,
2026-09-20,apples,Metro Canada,"Apples, Paula Red",https://www.metro.ca/en/online-grocery/aisles/fruits-vegetables/fruits/apples-pears/apples/p/033383443201,3 lb,3.0,lb,5.99,$0.44 /100 g,0.44,100g,False,,,,,,,produce,apples,fresh_apples,bagged,,100g,0.44018965016247225,,,$5.99 ea.,,
2026-09-20,apples,Metro Canada,"Bag of Apples, Royal Gala",https://www.metro.ca/en/online-grocery/aisles/fruits-vegetables/fruits/apples-pears/bag-of-apples/p/033383007410,3 lb,3.0,lb,5.99,$0.44 /100 g,0.44,100g,False,,,,,,,produce,apples,fresh_apples,bagged,,100g,0.44018965016247225,,,$5.99 ea.,,
2026-09-20,apples,Metro Canada,"Apple, Gala",https://www.metro.ca/en/online-grocery/aisles/fruits-vegetables/fruits/apples-pears/apple/p/4173,Sold individually,,,0.68,$4.39 / kg $1.99 / lb.,4.39,kg,True,sale,0.68,6.59,,,,produce,apples,fresh_apples,loose,,100g,0.439,,,$0.68 avg. ea.,Regular price $6.59 / kg $2.99 / lb.,kg
2026-09-20,apples,Metro Canada,"Apple, Honeycrisp",https://www.metro.ca/en/online-grocery/aisles/fruits-vegetables/fruits/apples-pears/apple/p/3283,Sold individually,,,1.41,$8.80 / kg $3.99 / lb.,8.8,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.88,,,$1.41 avg. ea.,,
2026-09-20,apples,Metro Canada,"Apple, Cosmic Crisp",https://www.metro.ca/en/online-grocery/aisles/fruits-vegetables/fruits/apples-pears/apple/p/3507,Sold individually,,,1.73,$7.69 / kg $3.49 / lb.,7.69,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.769,,,$1.73 avg. ea.,,
2026-09-20,apples,Metro Canada,"Apple, McIntosh",https://www.metro.ca/en/online-grocery/aisles/fruits-vegetables/fruits/apples-pears/apple/p/4152,Sold individually,,,0.75,$4.39 / kg $1.99 / lb.,4.39,kg,True,sale,0.75,6.59,,,,produce,apples,fresh_apples,loose,,100g,0.439,,,$0.75 avg. ea.,Regular price $6.59 / kg $2.99 / lb.,kg
2026-09-20,apples,Metro Canada,"Apple, Granny Smith",https://www.metro.ca/en/online-grocery/aisles/fruits-vegetables/fruits/apples-pears/apple/p/4139,Sold individually,,,1.22,$6.59 / kg $2.99 / lb.,6.59,kg,True,,,,,,,produce,apples,fresh_apples,loose,,100g,0.6589999999999999,,,$1.22 avg. ea.,,
2026-09-20,apples,Metro Canada,"Bag of Apples, Ginger Gold",https://www.metro.ca/en/online-grocery/aisles/fruits-vegetables/fruits/apples-pears/bag-of-apples/p/033383098159,3 lb,3.0,lb,5.99,$0.44 /100 g,0.44,100g,False,,,,,,,produce,apples,fresh_apples,bagged,,100g,0.44018965016247225,,,$5.99 ea.,,
